zip_code,year,dob_calls_311
10271,2014 ,2
10271,2017 ,1
10271,2018 ,8
10271,2019 ,3
10271,2020 ,5
10271,2023 ,1
10278,2011 ,1
10278,2020 ,3
10278,2021 ,3
10278,2022 ,1
10279,2011 ,1
10279,2013 ,2
10279,2015 ,4
10279,2016 ,1
10279,2017 ,2
10279,2018 ,3
10279,2019 ,2
10279,2021 ,1
10279,2022 ,1
10279,2023 ,2
10280,2011 ,14
10280,2012 ,19
10280,2013 ,14
10280,2014 ,14
10280,2015 ,18
10280,2016 ,14
10280,2017 ,20
10280,2018 ,38
10280,2019 ,16
10280,2020 ,6
10280,2021 ,10
10280,2022 ,11
10280,2023 ,8
10281,2011 ,1
10281,2012 ,5
10281,2014 ,4
10281,2015 ,3
10281,2016 ,4
10281,2017 ,1
10281,2018 ,8
10281,2019 ,7
10281,2021 ,1
10281,2022 ,9
10281,2023 ,4
10282,2011 ,6
10282,2012 ,16
10282,2013 ,4
10282,2014 ,8
10282,2015 ,18
10282,2016 ,11
10282,2017 ,9
10282,2018 ,48
10282,2019 ,16
10282,2020 ,12
10282,2021 ,13
10282,2022 ,22
10282,2023 ,21
10301,2011 ,510
10301,2012 ,424
10301,2013 ,389
10301,2014 ,511
10301,2015 ,484
10301,2016 ,628
10301,2017 ,632
10301,2018 ,506
10301,2019 ,614
10301,2020 ,399
10301,2021 ,415
10301,2022 ,351
10301,2023 ,202
10302,2011 ,292
10302,2012 ,225
10302,2013 ,242
10302,2014 ,275
10302,2015 ,272
10302,2016 ,246
10302,2017 ,265
10302,2018 ,325
10302,2019 ,362
10302,2020 ,250
10302,2021 ,241
10302,2022 ,239
10302,2023 ,111
10303,2011 ,290
10303,2012 ,246
10303,2013 ,209
10303,2014 ,266
10303,2015 ,220
10303,2016 ,351
10303,2017 ,313
10303,2018 ,325
10303,2019 ,368
10303,2020 ,217
10303,2021 ,220
10303,2022 ,204
10303,2023 ,106
10304,2011 ,496
10304,2012 ,466
10304,2013 ,487
10304,2014 ,447
10304,2015 ,448
10304,2016 ,518
10304,2017 ,535
10304,2018 ,577
10304,2019 ,683
10304,2020 ,398
10304,2021 ,529
10304,2022 ,401
10304,2023 ,222
10305,2011 ,478
10305,2012 ,525
10305,2013 ,463
10305,2014 ,465
10305,2015 ,403
10305,2016 ,415
10305,2017 ,494
10305,2018 ,460
10305,2019 ,537
10305,2020 ,340
10305,2021 ,379
10305,2022 ,378
10305,2023 ,215
10306,2011 ,654
10306,2012 ,919
10306,2013 ,936
10306,2014 ,602
10306,2015 ,574
10306,2016 ,610
10306,2017 ,773
10306,2018 ,623
10306,2019 ,768
10306,2020 ,486
10306,2021 ,572
10306,2022 ,553
10306,2023 ,325
10307,2011 ,213
10307,2012 ,188
10307,2013 ,155
10307,2014 ,120
10307,2015 ,142
10307,2016 ,163
10307,2017 ,187
10307,2018 ,174
10307,2019 ,222
10307,2020 ,137
10307,2021 ,136
10307,2022 ,160
10307,2023 ,104
10308,2011 ,207
10308,2012 ,188
10308,2013 ,185
10308,2014 ,180
10308,2015 ,158
10308,2016 ,183
10308,2017 ,191
10308,2018 ,242
10308,2019 ,274
10308,2020 ,177
10308,2021 ,386
10308,2022 ,260
10308,2023 ,202
10309,2011 ,362
10309,2012 ,243
10309,2013 ,220
10309,2014 ,263
10309,2015 ,234
10309,2016 ,339
10309,2017 ,358
10309,2018 ,329
10309,2019 ,373
10309,2020 ,270
10309,2021 ,258
10309,2022 ,243
