zip_code,year,evictions,eviction_filings
11211,2022,0,32
11211,2023,0,21
11212,2017,0,498
11212,2018,0,412
11212,2019,0,388
11212,2020,0,77
11212,2021,0,7
11212,2022,0,128
11212,2023,0,133
11213,2017,0,311
11213,2018,0,287
11213,2019,0,254
11213,2020,0,48
11213,2021,0,6
11213,2022,0,87
11213,2023,0,95
11214,2017,0,121
11214,2018,1,126
11214,2019,0,94
11214,2020,0,17
11214,2021,0,2
11214,2022,0,49
11214,2023,0,46
11215,2017,0,23
11215,2018,0,37
11215,2019,0,36
11215,2020,0,11
11215,2021,0,2
11215,2022,0,17
11215,2023,0,13
11216,2017,0,179
11216,2018,0,171
11216,2019,1,190
11216,2020,0,24
11216,2021,0,10
11216,2022,0,52
11216,2023,0,62
11217,2017,0,47
11217,2018,0,55
11217,2019,0,53
11217,2020,0,11
11217,2021,0,2
11217,2022,0,16
11217,2023,0,17
11218,2017,0,89
11218,2018,0,85
11218,2019,0,50
11218,2020,1,19
11218,2022,0,29
11218,2023,1,40
11219,2017,0,66
11219,2018,0,72
11219,2019,0,58
11219,2020,0,12
11219,2022,0,28
11219,2023,0,31
11220,2017,0,97
11220,2018,0,99
11220,2019,0,90
11220,2020,0,17
11220,2021,0,2
11220,2022,0,43
11220,2023,0,38
11221,2017,0,306
11221,2018,0,226
11221,2019,0,238
11221,2020,0,37
11221,2021,0,2
11221,2022,0,88
11221,2023,1,82
11222,2017,0,43
11222,2018,0,34
11222,2019,0,29
11222,2020,0,10
11222,2022,0,21
11222,2023,0,13
11223,2017,0,94
11223,2018,0,110
11223,2019,0,100
11223,2020,0,14
11223,2021,0,3
11223,2022,0,35
11223,2023,0,30
11224,2017,0,111
11224,2018,0,101
11224,2019,0,112
11224,2020,0,34
11224,2021,0,2
11224,2022,0,33
11224,2023,0,40
11225,2017,0,239
11225,2018,0,201
11225,2019,0,165
11225,2020,0,45
11225,2021,0,1
11225,2022,0,54
11225,2023,0,69
11226,2017,0,515
11226,2018,0,417
11226,2019,0,332
11226,2020,0,71
11226,2021,0,8
11226,2022,0,149
11226,2023,0,141
11228,2017,0,38
11228,2018,0,27
11228,2019,0,20
11228,2020,0,5
11228,2022,0,15
11228,2023,0,13
11229,2017,0,91
11229,2018,0,122
11229,2019,0,84
11229,2020,0,23
11229,2021,0,1
11229,2022,0,28
11229,2023,0,34
11230,2017,0,134
11230,2018,0,143
11230,2019,0,110
11230,2020,0,21
11230,2021,0,4
11230,2022,0,35
11230,2023,0,64
11231,2017,0,37
11231,2018,0,37
11231,2019,0,35
11231,2020,0,4
11231,2021,0,1
11231,2022,0,17
11231,2023,0,18
11232,2017,1,48
11232,2018,0,46
11232,2019,0,24
11232,2020,0,6
11232,2021,0,3
11232,2022,0,26
11232,2023,0,21
11233,2017,0,383
11233,2018,0,389
11233,2019,0,351
11233,2020,0,60
11233,2021,0,3
11233,2022,0,96
11233,2023,0,84
11234,2017,0,149
11234,2018,0,161
11234,2019,0,123
11234,2020,0,24
11234,2021,0,3
11234,2022,0,38
11234,2023,0,45
11235,2017,0,152
11235,2018,0,175
11235,2019,0,140
11235,2020,0,17
11235,2021,0,1
11235,2022,0,57
11235,2023,0,66
11236,2017,1,266
11236,2018,0,289
11236,2019,1,254
11236,2020,0,42
11236,2021,0,1
11236,2022,0,93
11236,2023,0,81
11237,2017,0,85
11237,2018,0,86
11237,2019,0,68
11237,2020,0,18
11237,2021,0,3
11237,2022,0,29
11237,2023,0,24
11238,2017,0,115
11238,2018,0,88
11238,2019,0,84
11238,2020,0,10
11238,2021,0,4
11238,2022,0,40
11238,2023,0,27
11239,2017,0,89
11239,2018,0,43
11239,2019,0,58
11239,2020,0,2
11239,2022,0,9
11239,2023,0,7
11240,2017,0,1
11242,2017,0,1
11242,2019,0,1
11249,2017,0,28
11249,2018,0,28
11249,2019,0,40
11249,2020,0,9
11249,2021,0,1
11249,2022,0,16
11249,2023,0,14
11266,2018,0,1
11272,2018,0,1
11306,2017,0,1
11312,2023,0,1
11335,2022,0,1
11354,2017,0,81
11354,2018,0,138
11354,2019,0,111
11354,2020,0,17
11354,2022,0,38
11354,2023,0,23
11355,2017,0,97
11355,2018,0,122
11355,2019,0,97
11355,2020,0,15
11355,2021,0,3
11355,2022,0,21
11355,2023,0,26
11356,2017,0,59
11356,2018,0,27
11356,2019,0,37
11356,2020,0,8
11356,2022,0,11
11356,2023,0,9
11357,2017,0,20
11357,2018,0,35
11357,2019,0,20
11357,2022,0,2
11357,2023,0,7
11358,2017,0,24
11358,2018,0,34
11358,2019,0,40
11358,2020,0,5
11358,2022,0,12
11358,2023,0,7
11359,2017,0,2
11360,2017,0,16
11360,2018,0,19
11360,2019,0,17
11360,2020,0,6
11360,2022,0,4
11360,2023,0,8
11361,2017,0,26
11361,2018,0,21
11361,2019,0,18
11361,2020,0,6
11361,2021,0,1
11361,2022,0,5
11361,2023,0,7
11362,2017,0,8
11362,2018,0,8
11362,2019,0,6
11362,2020,0,2
11362,2023,0,3
11363,2017,0,4
11363,2018,0,8
11363,2019,0,4
11363,2020,0,2
11363,2022,0,1
11363,2023,0,1
11364,2017,0,17
11364,2018,0,26
11364,2019,0,22
11364,2020,0,3
11364,2022,0,3
11364,2023,0,3
11365,2017,0,67
11365,2018,0,84
11365,2019,0,54
11365,2020,0,10
11365,2022,0,16
11365,2023,0,19
11366,2017,0,10
11366,2018,0,6
11366,2019,0,14
11366,2020,0,4
11366,2022,0,5
11366,2023,0,3
11367,2017,0,78
11367,2018,0,89
11367,2019,0,48
11367,2020,0,10
11367,2022,0,17
11367,2023,0,16
11368,2017,0,262
11368,2018,0,255
11368,2019,0,213
11368,2020,1,28
11368,2022,0,57
11368,2023,0,56
11369,2017,0,40
11369,2018,0,47
11369,2019,0,32
11369,2020,0,7
11369,2021,0,1
11369,2022,0,10
11369,2023,0,14
11370,2017,0,29
11370,2018,0,20
