arrest_precinct,year,count
40,2021,4070
41,2021,2031
42,2021,3071
43,2021,3412
44,2021,4387
45,2021,1502
46,2021,3274
47,2021,3489
48,2021,2511
49,2021,1675
50,2021,1321
52,2021,3275
60,2021,2334
61,2021,1485
62,2021,1504
63,2021,1492
66,2021,1130
67,2021,3019
68,2021,1449
69,2021,1385
70,2021,1974
71,2021,1894
72,2021,2051
73,2021,2579
75,2021,4249
76,2021,772
77,2021,1896
78,2021,945
79,2021,2489
81,2021,1433
83,2021,1994
84,2021,1939
88,2021,874
90,2021,1677
94,2021,986
100,2021,827
101,2021,1489
102,2021,2209
103,2021,3241
104,2021,1897
105,2021,2138
106,2021,1919
107,2021,1640
108,2021,1527
109,2021,2519
110,2021,2379
111,2021,700
112,2021,1385
113,2021,3223
114,2021,3462
115,2021,2516
120,2021,2896
121,2021,2175
122,2021,1342
123,2021,798
1,2022,2253
5,2022,2966
6,2022,1885
7,2022,2052
9,2022,2080
10,2022,1600
13,2022,2531
14,2022,6026
17,2022,909
18,2022,2910
19,2022,2196
20,2022,1142
22,2022,83
23,2022,2013
24,2022,1752
25,2022,3055
26,2022,1032
28,2022,2498
30,2022,1841
32,2022,2308
33,2022,1756
34,2022,1874
40,2022,5751
41,2022,3022
42,2022,3194
43,2022,4579
44,2022,5752
45,2022,1723
46,2022,4439
47,2022,3703
48,2022,3091
49,2022,2350
50,2022,1633
52,2022,4847
60,2022,2545
61,2022,1533
62,2022,1717
63,2022,1870
66,2022,1431
67,2022,3102
68,2022,1540
69,2022,1769
70,2022,2434
71,2022,2067
72,2022,2428
73,2022,3856
75,2022,5710
76,2022,848
77,2022,2272
78,2022,1325
79,2022,2816
81,2022,1684
83,2022,2312
84,2022,2888
88,2022,1194
90,2022,2247
94,2022,1373
100,2022,992
101,2022,1579
102,2022,2539
103,2022,4130
104,2022,1979
105,2022,2684
106,2022,2317
107,2022,2080
108,2022,1981
109,2022,3455
110,2022,3171
111,2022,744
112,2022,1563
113,2022,3621
114,2022,3894
115,2022,2863
120,2022,3725
121,2022,2285
122,2022,1401
123,2022,964
