zip_code,avg_zhvi_2000,avg_zhvi_2001,avg_zhvi_2002,avg_zhvi_2003,avg_zhvi_2004,avg_zhvi_2005,avg_zhvi_2006,avg_zhvi_2007,avg_zhvi_2008,avg_zhvi_2009,avg_zhvi_2010,avg_zhvi_2011,avg_zhvi_2012,avg_zhvi_2013,avg_zhvi_2014,avg_zhvi_2015,avg_zhvi_2016,avg_zhvi_2017,avg_zhvi_2018,avg_zhvi_2019,avg_zhvi_2020,avg_zhvi_2021,avg_zhvi_2022,avg_zhvi_2023
10528,439020.18200833333,484974.90163333336,571671.3762083333,642544.4521166666,703792.32005,768813.92275,841669.5854833333,849160.425275,836724.2943583333,771158.6479416667,736691.4457666667,733933.5566416667,725120.1928166667,743660.2072833334,793556.4043916666,827379.7690333333,830453.5213666667,861830.5636333333,880923.1599833333,869870.16195,910118.3911666666,1011017.6145583333,1121229.1879166667,1153227.4758
10530,245615.64841666666,276446.42264166666,310283.5820666667,351548.3601666667,391118.776075,435138.04325833335,471321.86933333334,466438.92243333336,461234.1073833333,430454.2448333333,419011.54048333335,415872.6318583333,398976.311225,402607.7420166667,437383.0904583333,462654.0088416667,482305.70904166665,502435.62039166666,513144.58975,541747.2609333333,552855.9410416667,610382.024775,629262.4533833333,628084.61044
10532,262254.5464666667,304729.30515833333,327798.9383583333,365835.6011083333,413954.24354166666,480485.973075,511803.050625,495036.153675,485604.8483083333,470543.87535,467400.3023916667,442521.7236,433977.324975,453415.06196666666,504004.58369166666,518599.022225,523878.7720666667,532140.9238833333,549217.374675,561262.0413500001,584268.5783166667,628074.8181916666,670256.5516166666,665699.1047
10533,480064.435825,543638.5370916667,620949.36685,680262.5867833333,766818.504975,832773.7882833333,889150.91915,871046.248925,859062.2427,833887.6701166667,807614.4116666666,778663.5494083334,766721.615125,798425.49035,882027.2416666667,943113.6893416666,950099.6699333333,984693.6916499999,992560.5716416667,956298.1500583333,945489.8719583333,1016310.4013,1071133.76375,1068797.9856
10536,412099.3794166667,472833.78040833335,525569.94565,591848.453525,653285.161575,713541.49185,771766.2975083333,759511.5261583333,753899.8240333333,700061.146975,673898.6210916666,651728.8487416666,639210.44325,661335.8812666667,675147.2364416667,688799.8830416667,714593.4455416667,723772.9258333333,743281.3000083333,734167.0719166667,719833.353275,809804.92165,901661.4957083333,914498.47026
10537,143928.2725,156118.63171666666,178759.23108333335,209512.71468333332,241357.87521666667,285707.945675,301166.52063333336,274809.39331666665,261550.59118333334,241151.154275,237824.65445833333,221890.03330833334,202143.98905,203684.14767500001,207161.79185,203438.52435,206768.00704166666,220484.902975,243035.055225,258715.34294166666,277183.8050583333,313901.8143,339807.4765666667,351040.2691
10538,508263.7511583333,583105.1514,677852.3057916666,748243.6087166667,812848.66175,911156.0797916667,981395.9142583334,995877.2536083333,1008478.2744083334,948233.1854083333,913863.7508666667,931874.8258416667,924466.1005666667,990516.3903333333,1074780.4825833333,1084440.42475,1112749.9464166667,1141018.4610833332,1160149.1295,1134425.0720833333,1135559.7768333333,1285436.6920833334,1387884.8026666667,1412147.6662
10541,236213.56154166668,263612.602425,299699.55409166665,342870.3473583333,389193.40025833336,433860.074075,456572.1408583333,459366.6205,438272.60949166666,400810.1247916667,391362.8375083333,361810.8044583333,331314.25604166667,334155.3564583333,340921.14665,346876.728575,357928.60534999997,378709.07300833333,403176.8473083333,418301.7568,429345.29640833335,479968.1049916667,524858.6263416667,532134.10528
10543,378650.9491833333,428714.653,506606.33468333335,572122.9122499999,630679.5705333333,689045.6618583333,748847.8228166667,734384.8568666667,718484.903675,654336.729225,655142.8721583333,622756.42445,617476.1016333334,639518.8896,658747.7659666666,669626.10655,693418.7186,716467.3605416666,739176.7047083334,737549.7497916666,739289.0019166666,824330.0956916667,868602.8642583333,867515.27884
10546,241267.96430833332,277038.52285,315528.20995,355910.28236666665,398374.768525,443890.6601583333,462583.0370333333,472846.30565,454113.61388333334,414598.8084166667,410020.0865,403763.337525,408448.72883333336,432950.57184166665,448787.459725,463612.90375,489027.9842333333,500117.398975,527463.8479,535911.6421416667,574658.691475,667606.3832416667,746131.580875,767050.8056
10547,221554.39686666668,252891.36630833332,280175.8028,327874.6391166667,363270.54199166666,403291.75645833334,426845.4402333333,421119.98154166667,411674.9373916667,381996.89285833336,360839.259675,346815.7093666667,317275.1305833333,317125.4577083333,338399.926425,349506.7776833333,371749.524125,392125.4729583333,418924.8533416667,432642.91,429040.870275,464010.4393083333,496247.97430833336,486886.61814000004
10548,211823.58960833334,225311.49051666667,258666.0017,299659.27515833336,322991.24867500004,360127.41066666663,393441.02733333333,383831.2403333333,373080.2410916667,346204.9267416667,348063.4484,346416.964075,308536.69471666665,299804.4365666667,327976.18450833333,343893.27513333334,361274.66144166666,376342.051575,401446.8425083333,428920.17965,440434.39849166665,469646.214675,486314.642225,476875.97456
10549,311941.620875,353882.50675,408488.7513666667,452872.76605,507445.6928,558908.7452916666,606402.3530333333,584214.9872416666,588430.7861583333,552417.2444166667,541641.4054416666,516049.8288166667,492458.10623333335,502907.7535,525674.1771083333,543822.3580666666,557542.988825,571815.4586666666,590048.105525,588214.2510583333,605835.5233583333,696159.0350083334,768825.4260833333,778228.55388
10550,221370.07785,241457.79523333334,270189.5028833333,295822.851775,346307.30463333335,379844.68046666664,445204.122875,468214.53150833334,441091.81200833333,371290.1775,341224.4789666667,309849.33813333337,270410.17306666664,255928.69988333332,270797.0480333333,282371.13978333335,289924.55583333335,303154.575375,327152.0784666667,349048.197875,384900.7002166667,420609.907275,450581.9747166667,450825.61396
