zipcode,agi11,agi12,agi13,agi14,agi15,agi16,agi17,agi18,agi19,agi20
13310,2674.80796081643,2716.483870967742,2623.967741935484,2313.448275862069,2408.5862068965516,2470.896551724138,2488.733333333333,2533.2,2890.0666666666666,2832.451612903226
13314,2838.1164285421364,1878.2272727272727,1785.590909090909,1808.857142857143,1672.4,1714.3684210526317,1944.55,1980.9473684210527,2213.714285714286,2040.388888888889
13315,4610.4663469627885,4672.295081967213,4609.65,4569.786885245901,4929.375,4712.949152542373,5087.098360655737,5462.459016393443,6017,5965.152542372882
13316,21347.10531840448,22464.881944444445,21999.398601398603,22051.961672473866,22538.787456445993,23730.556338028167,23479.713780918726,24531.01754385965,24767.147887323943,26638.85763888889
13317,13157.376527917826,13157.27380952381,13517.874251497005,13670.060975609756,13683.976331360947,14246.631578947368,14372.281437125748,14057.976047904192,14479.559523809523,15633.745664739885
13318,4577.274860962225,4857.683333333333,4927.145161290323,5429.112903225807,5622.890625,5912.030769230769,5829.098360655737,6181.573770491803,6075.9672131147545,6080.933333333333
13319,3529.6987447698743,3418.2608695652175,3229.75,3434.4,3700.0444444444443,3608.808510638298,3648.0444444444443,3669.3953488372094,3850.9555555555557,3955.909090909091
13320,6935.56367382627,7225.766666666666,6975.738636363636,7934.516853932584,7410.494505494506,7726.544444444445,8199.36170212766,7366.408602150537,7677.806451612903,7820.3626373626375
13322,4768.879589448962,4684.2807017543855,4973.672413793103,4858.592592592592,5052.517857142857,4984.62962962963,5314.961538461538,5866.018181818182,5606.2,5834.381818181818
13323,41453.72624867163,44045.06765327696,43712.9381663113,44944.644539614565,47270.16075156576,49039.177083333336,51561.666666666664,53871.85306122449,56269.956878850106,58754.56795131846
13324,7064.999241952883,7018.454545454545,7026.337078651685,7167.477777777778,7622.730337078651,7749.877777777778,7964.989010989011,8384.054945054944,9009.36170212766,9580.122448979591
13325,3001.231147252682,3171.0232558139537,3235.177777777778,3449.5,3522.568181818182,3589.279069767442,3417.6190476190477,3522.9523809523807,3687,4279.772727272727
13326,22503.877848337692,23837.93181818182,24144.536398467433,26035.620689655174,26124.92277992278,26415.82,28847.292490118576,28601.996062992126,30539.08203125,33300.29296875
13327,7830.160699081184,7761.959183673469,7788.34693877551,7905.273684210526,8364.040404040405,8216.431578947368,8660.744897959185,8642.6875,9283.6875,9302.69696969697
13328,4609.318170373105,4695.509090909091,4971.910714285715,5134.072727272727,5136.803571428572,5382.090909090909,5832.777777777777,6470.226415094339,6672.12962962963,5368.963636363636
13329,12437.986805093995,11914.363057324841,12116.184713375796,12440.725,12460.844720496894,12587,12933.689440993789,13162.26582278481,14044.621118012423,14279.926380368099
13331,2544.3188738232266,1556.923076923077,1815.6,1596.2857142857142,1599.6923076923076,2123.9285714285716,2431.076923076923,1990.076923076923,2055.846153846154,1872.4615384615386
13332,8369.840144903106,8163.321100917431,8363.88990825688,8705.473684210527,8991.563636363637,9143.036697247706,9239.605263157895,9808.816513761469,10142.063063063064,10720
13334,4358.401740360715,4443.517241379311,4411.125,4353.071428571428,4354.981132075472,4665.833333333333,4935.363636363636,5159.035087719299,5090.070175438596,5655.762711864407
13335,5358.203375588592,5329.438356164384,5635.666666666667,5705.774647887324,5973,5927.430555555556,6165.273972602739,6607.7945205479455,6532.708333333333,7444.904109589041
13337,3349.230769230769,3488.878048780488,3404.2,3785.095238095238,3715.3720930232557,3936.906976744186,3990.825,4338.1463414634145,4894.883720930233,5717.45
13338,4713.226595671463,4688.952380952381,4546.683333333333,4594.25,4699.1016949152545,4834.216666666666,5020.131147540984,5385.241935483871,5567.466666666666,5946.754098360656
13339,19496.46281021462,19099.52140077821,19464.803088803088,20060.223484848484,19823.138461538463,19589.233716475097,20839.24427480916,20378.326848249028,21268.33712121212,22546.58088235294
13340,27911.42021276596,28505.130319148935,28391.37669376694,28510.901369863015,28928.21832884097,29442.135135135137,30836.563157894736,32022.289124668434,33109.10052910053,34268.04986876641
13343,6236.270512109766,6098.128205128205,6376.725,6574.74025974026,6473.065789473684,6691.0921052631575,7021.525641025641,7289.909090909091,7272.453333333333,7856.506493506494
13346,17178.56973878758,18239.845,18880.943005181347,20263.854166666668,20446.871134020617,21590.290322580644,22083.463541666668,22850.25806451613,23535.878947368423,23352.90425531915
13348,4892.111910467635,4951.676923076923,4997.140625,5087.492063492064,5452.640625,5494.738461538462,5563.21875,5686.887096774193,5991.131147540984,5346.9682539682535
