zip_code,nyc_flag,year,avg_zhvi,housing_units,agi,total_pop,avg_zhvi_pct,agi_pct,percentile_diff,inner_third_flag,gap_25_pct,bottom_income_quartile,gap_years,first_gap,gentrification_signal,avg_rent,gross_rent_per_unit,evictions,eviction_filings,violations_a,violations_b,violations_c,total_violations,dob_calls_311,permits_alteration,permits_demolition,nypd_calls_311,arrests
10011,1,2014,1038626.79573333,30593,1369322.18905676,49497,0.98068253576939,0.965383586093327,0.0152989496760634,1,0,0,0,0,0,3693.7639725739314,1819.7690648187497,NA,NA,173,642,241,1056,800,20,3,2658,3715
10011,1,2015,1162964.1115,30787,1446637.42414487,49873,0.984197828026362,0.963706478314688,0.0204913497116742,1,0,0,0,0,0,3841.168001683217,1932.3239354272907,NA,NA,382,613,416,1411,1044,33,2,3377,3843
10011,1,2016,1276345.365,30513,1274166.80246914,47872,0.985366989421107,0.962871490356298,0.0224954990648096,1,0,0,0,0,0,3910.093226504575,2021.368793628945,NA,NA,420,787,385,1592,934,22,2,2907,3226
10011,1,2017,1295308.84933333,30471,1481208.97203884,47991,0.98503265621104,0.961799750571442,0.0232329056395975,1,0,0,0,0,0,3906.701682362919,2144.34577138919,0,76,667,931,479,2077,943,34,3,2955,2721
10011,1,2018,1374609.41508333,30534,1746425.67213726,46965,0.98104869149008,0.962376485172706,0.0186722063173734,1,0,0,0,0,0,3967.982014846478,2116.5842667190673,0,49,704,1014,423,2141,996,19,4,3532,2097
10011,1,2019,1285499.73083333,30642,1504768.59698609,46349,0.98209441642292294,0.959834763092926,0.0222596533299968,1,0,0,0,0,0,4065.6936582386097,2195.6251223810455,0,58,553,1044,486,2083,1091,25,6,5017,1859
10011,1,2020,1322947.54775,32219,1585327.58320251,48102,0.975004710191978,0.963121152609329,0.0118835575826493,1,0,0,0,0,0,3822.7026389808702,2333.9952822868495,0,11,343,567,322,1232,706,8,NA,4885,1278
10011,1,2021,1416920.54216667,33023,NA,49416,0.972629982299617,NA,NA,1,NA,NA,NA,NA,NA,3897.3634177897793,2289.3600520849104,0,2,1155,649,408,2212,762,13,1,6924,1434
10012,1,2011,443497.462141667,13415,2370163.73701911,22474,0.74554976646644,NA,NA,1,NA,NA,NA,NA,NA,NA,1761.8827431979128,NA,NA,65,218,69,352,491,17,NA,1959,2318
10012,1,2012,475019.571933333,13189,3116317.02913025,22932,0.792777784371341,NA,NA,1,NA,NA,NA,NA,NA,2866.731497185306,1796.0481461824247,NA,NA,107,312,68,487,499,17,1,1778,2280
10012,1,2013,564792.677658333,12965,3024892.15381391,23197,0.847899778238712,NA,NA,1,NA,NA,NA,NA,NA,2945.8864628764836,1868.8273814114923,NA,NA,124,513,197,834,688,22,3,2195,2040
10012,1,2014,687528.406066667,12755,3298206.67496887,22490,0.868533911542741,0.994477210065844,-0.125943298523103,1,0,0,NA,NA,0,3059.768255616082,1957.9402587220695,NA,NA,104,371,185,660,624,16,NA,2227,1920
10012,1,2015,822141.005175,12801,3782046.23325062,21965,0.892923505360209,0.995730225682121,-0.102806720321912,1,0,0,NA,NA,0,3190.5189720840012,2060.0314037965786,NA,NA,324,502,320,1146,681,22,1,2476,1590
