zip_code,year,gross_rent_per_unit
07112,2016,1007.5410352148766
07112,2017,1026.9323506373282
07112,2018,1082.9405786873676
07112,2019,1113.7458970402581
07112,2020,1084.346538811507
07112,2021,1163.7531048523922
07114,2011,NA
07114,2012,NA
07114,2013,NA
07114,2014,NA
07114,2015,NA
07114,2016,NA
07114,2017,NA
07114,2018,NA
07114,2019,NA
07114,2020,NA
07114,2021,NA
07201,2011,982.528824285573
07201,2012,1025.9069418010617
07201,2013,1032.8028394321136
07201,2014,1039.5127766599599
07201,2015,1048.2903781810808
07201,2016,1055.7196129812537
07201,2017,1071.9091825420824
07201,2018,1130.7361472294458
07201,2019,1141.4669113999405
07201,2020,NA
07201,2021,NA
07202,2011,946.7943778020114
07202,2012,968.5616021426832
07202,2013,991.7663221884499
07202,2014,1022.6393583149645
07202,2015,1019.051364764268
07202,2016,1021.6212973378327
07202,2017,1054.315736927493
07202,2018,1089.6628962088253
07202,2019,1096.312250499002
07202,2020,1189.7594174165015
07202,2021,1275.8642290249434
07203,2011,1050.0907883617047
07203,2012,1091.6868293833274
07203,2013,1085.9756967670012
07203,2014,1081.19150135257
07203,2015,1097.8187370361834
07203,2016,1078.97930955647
07203,2017,1066.4604581558651
07203,2018,1080.7732774116237
07203,2019,1149.1073391134448
07203,2020,1122.8777464097213
07203,2021,1202.278753135077
07204,2011,1102.5665918443697
07204,2012,1159.675061641423
07204,2013,1178.2160340546293
07204,2014,1174.9398441746694
07204,2015,1198.5414742287087
07204,2016,1190.3079476304629
07204,2017,1205.910836501901
07204,2018,1225.8713339640492
07204,2019,1268.899688352162
07204,2020,1284.6836893203883
07204,2021,1315.5478622777148
07205,2011,1250.9646474677259
07205,2012,1262.3895277207391
07205,2013,1284.6421183285065
07205,2014,1339.5260341634082
07205,2015,1348.362342415616
07205,2016,1286.6383801383802
07205,2017,1345.0483052567486
07205,2018,1331.7783103654883
07205,2019,1406.5233941316415
07205,2020,1438.7359313077939
07205,2021,1459.1277011195002
07206,2011,1084.7326501491764
07206,2012,1102.2736030828517
07206,2013,1125.0659271397958
07206,2014,1155.3038006544173
07206,2015,1138.8592116861855
07206,2016,1139.165594059406
07206,2017,1172.76379525593
07206,2018,1188.6588087774294
07206,2019,1213.2135934710534
07206,2020,1248.3141848523749
07206,2021,1335.0516995725625
07208,2011,977.0107484076433
07208,2012,977.6962448215957
07208,2013,1031.3274193548386
07208,2014,1018.6356093579979
07208,2015,1017.5725349190983
07208,2016,1027.4915346805024
07208,2017,1066.6991126279863
07208,2018,1103.1246278755075
07208,2019,1137.4846050870146
07208,2020,NA
07208,2021,NA
07302,2011,1549.604555808656
07302,2012,1565.7028799177167
07302,2013,1554.0037963654468
07302,2014,1615.7533374157993
