ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,GEOID
"17901",8600000US17901,"17901","202072418","904249","42107003300"
"18519",8600000US18519,"18519","6235668","0","42069111200"
"18519",8600000US18519,"18519","6235668","0","42069101200"
"18519",8600000US18519,"18519","6235668","0","42069111400"
"18519",8600000US18519,"18519","6235668","0","42069111500"
"18519",8600000US18519,"18519","6235668","0","42069111600"
"18519",8600000US18519,"18519","6235668","0","42069111700"
"17983",8600000US17983,"17983","6498255","0","42107001200"
"18462",8600000US18462,"18462","69474033","1303404","42115032300"
"18462",8600000US18462,"18462","69474033","1303404","42127960100"
"18462",8600000US18462,"18462","69474033","1303404","42127960200"
"18462",8600000US18462,"18462","69474033","1303404","42115032401"
"18944",8600000US18944,"18944","119555168","2441299","42017102300"
"18944",8600000US18944,"18944","119555168","2441299","42017102700"
"18944",8600000US18944,"18944","119555168","2441299","42017104000"
"18944",8600000US18944,"18944","119555168","2441299","42017102002"
"18944",8600000US18944,"18944","119555168","2441299","42017104204"
"18944",8600000US18944,"18944","119555168","2441299","42017102401"
"18944",8600000US18944,"18944","119555168","2441299","42017102402"
"18944",8600000US18944,"18944","119555168","2441299","42017106401"
"18944",8600000US18944,"18944","119555168","2441299","42017106300"
"18944",8600000US18944,"18944","119555168","2441299","42017103700"
"18944",8600000US18944,"18944","119555168","2441299","42017103300"
"18944",8600000US18944,"18944","119555168","2441299","42017102102"
"18944",8600000US18944,"18944","119555168","2441299","42017102500"
"18944",8600000US18944,"18944","119555168","2441299","42017104100"
"17868",8600000US17868,"17868","1737297","352920","42093050200"
"17868",8600000US17868,"17868","1737297","352920","42097080700"
"19454",8600000US19454,"19454","33798758","5916","42091200607"
"19454",8600000US19454,"19454","33798758","5916","42091200903"
"19454",8600000US19454,"19454","33798758","5916","42091201004"
"19454",8600000US19454,"19454","33798758","5916","42091201005"
"19454",8600000US19454,"19454","33798758","5916","42091201003"
"19454",8600000US19454,"19454","33798758","5916","42017101810"
"19454",8600000US19454,"19454","33798758","5916","42091200906"
"19454",8600000US19454,"19454","33798758","5916","42091200602"
"19454",8600000US19454,"19454","33798758","5916","42091200606"
"19454",8600000US19454,"19454","33798758","5916","42091203204"
"19454",8600000US19454,"19454","33798758","5916","42091200605"
"19454",8600000US19454,"19454","33798758","5916","42091201006"
"19454",8600000US19454,"19454","33798758","5916","42091201100"
"19454",8600000US19454,"19454","33798758","5916","42091201201"
"19454",8600000US19454,"19454","33798758","5916","42091200505"
"19454",8600000US19454,"19454","33798758","5916","42091206801"
"19454",8600000US19454,"19454","33798758","5916","42091201203"
"18342",8600000US18342,"18342","2845566","0","42089300201"
"16926",8600000US16926,"16926","62750236","211285","42015951300"
"16926",8600000US16926,"16926","62750236","211285","42015950700"
"17366",8600000US17366,"17366","29174250","37958","42133023302"
"17366",8600000US17366,"17366","29174250","37958","42133023601"
"17366",8600000US17366,"17366","29174250","37958","42133023721"
"17366",8600000US17366,"17366","29174250","37958","42133023602"
"17366",8600000US17366,"17366","29174250","37958","42133023200"
"17366",8600000US17366,"17366","29174250","37958","42133023100"
"18655",8600000US18655,"18655","187087004","2976679","42079215900"
"18655",8600000US18655,"18655","187087004","2976679","42079215600"
"18655",8600000US18655,"18655","187087004","2976679","42079215702"
"18655",8600000US18655,"18655","187087004","2976679","42079215800"
"18655",8600000US18655,"18655","187087004","2976679","42079216100"
"18655",8600000US18655,"18655","187087004","2976679","42079216200"
"18655",8600000US18655,"18655","187087004","2976679","42037050100"
"18655",8600000US18655,"18655","187087004","2976679","42037050500"
"18655",8600000US18655,"18655","187087004","2976679","42079215701"
"19053",8600000US19053,"19053","27129915","200848","42101036502"
"19053",8600000US19053,"19053","27129915","200848","42017100900"
"19053",8600000US19053,"19053","27129915","200848","42017100208"
"19053",8600000US19053,"19053","27129915","200848","42101036400"
"19053",8600000US19053,"19053","27129915","200848","42017105011"
"19053",8600000US19053,"19053","27129915","200848","42017106100"
"19053",8600000US19053,"19053","27129915","200848","42017100201"
"19053",8600000US19053,"19053","27129915","200848","42017105004"
"19053",8600000US19053,"19053","27129915","200848","42017101403"
"19053",8600000US19053,"19053","27129915","200848","42017101401"
"19053",8600000US19053,"19053","27129915","200848","42017100808"
"19053",8600000US19053,"19053","27129915","200848","42091200104"
"19053",8600000US19053,"19053","27129915","200848","42017105006"
"19053",8600000US19053,"19053","27129915","200848","42017101405"
"19053",8600000US19053,"19053","27129915","200848","42017101503"
"19053",8600000US19053,"19053","27129915","200848","42017101505"
"19053",8600000US19053,"19053","27129915","200848","42101036501"
"19053",8600000US19053,"19053","27129915","200848","42017100207"
"19053",8600000US19053,"19053","27129915","200848","42017100211"
"19053",8600000US19053,"19053","27129915","200848","42017100206"
"19053",8600000US19053,"19053","27129915","200848","42017101404"
"17517",8600000US17517,"17517","90602132","2372792","42071010102"
"17517",8600000US17517,"17517","90602132","2372792","42071010201"
"17517",8600000US17517,"17517","90602132","2372792","42071012501"
"17517",8600000US17517,"17517","90602132","2372792","42071010104"
"17517",8600000US17517,"17517","90602132","2372792","42071010103"
"17517",8600000US17517,"17517","90602132","2372792","42071012701"
"17517",8600000US17517,"17517","90602132","2372792","42071012601"
"17517",8600000US17517,"17517","90602132","2372792","42071012502"
"17517",8600000US17517,"17517","90602132","2372792","42075003000"
